ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung;Emotion;Reduction;Modifikator;Negation;Kodierer;Problem
1820;3;dass die Schokolade da drin ist;freut sich;;;;;;freut sich;Freude;;;BS;2.0
1820;4;will seit 2 Tagen nicht mehr spielen;traurig;;;;;;traurig;traurig;;;E.T.;
1820;5;ist in den Armen seiner Mutter;glücklich;;;;;;glücklich;glücklich;;;E.T.;
1820;6;Kuchen weggeschmissen;traurig, weil er keinen Kuchen hat;;;;;;traurig;traurig;;;E.T.;
1820;7;weil er krank ist/Geburtstag hat;freut sich;;;;;;freut sich;Freude;;;BS;2.0
1820;8;weil seine Hose offen steht;Angst;;;;;;Angst;ängstlich;;;E.T.;
1820;9;Igel;wütend, weil der Igel weg ist und der Freund doof ist;;;;;;wütend;wütend;;;BS;2.0
1820;10;Legomodell;traurig;;;;;;traurig;traurig;;;E.T.;
5998;1;Monster;Angst;;;;;;Angst;ängstlich;;;E.T.;
5998;2;wieder ganz;wieder gut;;;;;;gut;positiv;;;E.T.;
5998;3;Schokolade;Schokolade;;;;;;99;99;;;BS;3.0
5998;4;ist tot;langweilig;;;;;;langweilig;langweilig;;;E.T.;
5998;5;auf Mamas Schoß;warm;;;;;;99;99;;;BS;3.0
5998;6;Kerze;traurig;;;;;;traurig;traurig;;;E.T.;
5998;7;dass er damit spielen;er fühlt sich wohl;;;;;;wohl;positiv;;;E.T.;
5998;8;weil Hose runtergerutscht ist;traurig;;;;;;traurig;traurig;;;E.T.;
5998;9;Igel;traurig;;;;;;traurig;traurig;;;E.T.;
5998;10;Modelleisenbahn;traurig;;;;;;traurig;traurig;;;E.T.;
3285;1;Monster-Film;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
3285;2;kaputt gegangen;traurig;;;;;;traurig;traurig;;;E.T.;
3285;3;dass die Schokolade in den Schrank gelegt wurde;weiß nicht;weiß nicht;;;;;99;99;;;BS;3.0
3285;4;will nicht mehr spielen;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
3285;5;im Arm der Mama;glücklich;;;;;;glücklich;glücklich;;;E.T.;
3285;6;Schimmel;geekelt;;;;;;geekelt;Ekel;;;E.T.;
3285;7;Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
3285;8;weil es ihm peinlich ist, dass die Hose offen ist;schämt sich;;;;;;peinlich;peinlich;;;BS;2.0
3285;9;Igel;wütend;;;;;;wütend;wütend;;;E.T.;
3285;10;Auto auf der Schachtel;wütend ;;;;;;wütend;wütend;;;E.T.;
8222;1;ein Gespensterfilm;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
8222;2;er ist kaputt gegangen;traurig;;;;;;traurig;traurig;;;E.T.;
8222;3;wie Mama die Schokolade wegräumt;sauer;;;;;;sauer;sauer;;;E.T.;
8222;4;sie ist müde;sorgen;;;;;;Sorgen;besorgt;;;E.T.;
8222;5;in dem Schoß;kuschelig;;;;;;99;99;;;BS;3.0
