ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung
7372;8;weil ihre Hose offen ist;komisch;;schlecht;;;
7372;9;den Igel;wütend;;;;;
7372;10;Lego-Auto;doof;;schlecht;;;
1820;1;Monster;ängstlich;;;;;
1820;2;kaputt;traurig;;;;;
1820;3;dass die Schokolade da drin ist;freut sich;;;;;
1820;4;will seit 2 Tagen nicht mehr spielen;traurig;;;;;
1820;5;ist in den Armen seiner Mutter;glücklich;;;;;
1820;6;Kuchen weggeschmissen;traurig, weil er keinen Kuchen hat;;;;;
1820;7;weil er krank ist/Geburtstag hat;freut sich;;;;;
1820;8;weil seine Hose offen steht;Angst;;;;;
1820;9;Igel;wütend, weil der Igel weg ist und der Freund doof ist;;;;;
1820;10;Legomodell;traurig;;;;;
5998;1;Monster;Angst;;;;;
5998;2;wieder ganz;wieder gut;;;;;
5998;3;Schokolade;Schokolade;;;;;
5998;4;ist tot;langweilig;;;;;
5998;5;auf Mamas Schoß;warm;;;;;
5998;6;Kerze;traurig;;;;;
5998;7;dass er damit spielen;er fühlt sich wohl;;;;;
5998;8;weil Hose runtergerutscht ist;traurig;;;;;
5998;9;Igel;traurig;;;;;
5998;10;Modelleisenbahn;traurig;;;;;
3285;1;Monster-Film;ängstlich;;;;;
3285;2;kaputt gegangen;traurig;;;;;
3285;3;dass die Schokolade in den Schrank gelegt wurde;weiß nicht;weiß nicht;;;;
3285;4;will nicht mehr spielen;ängstlich;;;;;
3285;5;im Arm der Mama;glücklich;;;;;
3285;6;Schimmel;geekelt;;;;;
3285;7;Geburtstag;fröhlich;;;;;
3285;8;weil es ihm peinlich ist, dass die Hose offen ist;schämt sich;;;;;
3285;9;Igel;wütend;;;;;
3285;10;Auto auf der Schachtel;wütend ;;;;;
8222;1;ein Gespensterfilm;ängstlich;;;;;
8222;2;er ist kaputt gegangen;traurig;;;;;
8222;3;wie Mama die Schokolade wegräumt;sauer;;;;;
8222;4;sie ist müde;sorgen;;;;;
8222;5;in dem Schoß;kuschelig;;;;;
8222;6;Schimmel;traurig;;;;;
8222;7;weil er Geburtstag hat;fröhlich;;;;;
8222;8;weil seine Hosse offen ist;er macht sich sorgen, dass jemand das gesehen hat;;;;;
8222;9;den Igel;sauer;;;;;
8222;10;das Auto;sauer;;;;;
2586;1;Monsterfilm;Angst;;;;;
2586;2;Laster drübergefahren;traurig;;;;;
2586;3;Mutter räumt Schoko in Schrank;kann man nicht sagen;;;;;
2586;4;will nicht mehr spielen;traurig;;;;;
2586;5;bei Mutter;gut;;;;;
